Subject,Date,Condition,Game,Request,Calls,Intercepted,Location,Season,Enjoy_Game,Finish,Game_Freq,Enjoy_Type,Interested,Distressed,Excited,Upset,Strong,Gulty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,Gender,Purpose,Pos_Affect,Neg_Affect,Purpose_Qual
93,4/24/2014,1,1,1,0,1,2,1,2,1,6,1,2,1,1,1,2,1,1,1,2,2,1,3,1,1,1,3,3,2,3,1,2,1,22,11,The purpose was to see how people feel when playing video games. I think it also depends a lot on how much you play video games anyways and the type of game.
94,4/29/2014,6,3,2,5,1,2,1,3,2,1,3,4,1,4,1,1,1,1,2,3,1,2,3,1,1,1,2,3,1,2,1,1,1,24,12, 
95,4/29/2014,5,2,2,0,1,2,1,3,2,2,2,4,4,4,2,2,1,2,3,3,2,2,4,1,2,3,3,4,2,3,2,1,2,31,22, 
96,4/29/2014,4,1,2,5,1,2,1,2,2,2,2,3,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,14,14, 
97,5/1/2014,3,3,1,0,1,2,1,3,2,4,4,3,2,3,2,3,1,1,1,2,3,1,3,2,1,1,4,3,1,4,1,2,1,29,13,"To see how playing ""violent"" video games effect an individual's emotions."
98,5/1/2014,2,2,1,0,1,2,1,3,1,3,4,3,4,2,5,1,5,3,4,2,1,2,3,4,1,4,1,3,3,3,4,2,2,20,38, 
99,5/1/2014,1,1,1,0,1,2,1,1,1,4,1,2,3,2,3,3,1,1,2,1,1,4,3,1,1,2,3,2,2,3,1,2,2,21,20, 
100,5/6/2014,6,3,2,0,1,2,1,4,2,2,3,5,4,5,2,2,1,1,1,2,1,3,5,1,1,1,3,1,1,5,1,2,1,30,16,To see what are emotions are going to be like after we play a violent video game. Specifically if we felt more enraged after playing the video game.
101,5/6/2014,5,2,2,0,1,2,1,2,2,4,2,3,1,3,1,3,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,2,1,21,11,"to test whether killing all of those innocent people would ilicit an emointion.  Trying it a second time was a test to see if you would kill all those people again, maybe even kill the guy for killing those people and you."
102,5/8/2014,4,1,2,1,1,2,1,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,2,2,16,10, 
103,5/8/2014,3,3,1,0,1,2,1,4,2,4,4,4,1,4,1,4,1,1,1,4,4,1,1,1,3,1,4,4,1,4,1,2,2,36,10, 
104,5/8/2014,2,2,1,0,1,2,1,3,1,5,3,3,2,3,2,2,5,1,1,2,1,2,4,5,2,2,1,4,3,2,1,2,2,24,24, 
105,6/19/2014,1,1,1,0,1,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,11,11,the people's emotions and changes when they playing the video games
106,6/24/2014,6,3,2,3,1,2,2,3,2,4,3,2,2,3,4,3,1,1,2,3,3,4,4,2,1,1,3,3,3,3,1,2,1,28,21,to know the level of happiness after playing games
107,6/24/2014,5,2,2,5,1,2,2,2,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,13,12,to see what emotions are triggered while playing violent video games or to see if they have a huge impact on you after you play them
108,6/26/2014,4,1,2,3,1,2,2,3,2,4,1,4,3,3,1,3,1,1,1,2,1,2,1,1,2,3,3,3,2,2,1,2,2,24,16, 
109,6/26/2014,3,3,1,0,1,2,2,4,1,5,4,4,1,3,1,1,1,1,1,2,4,1,2,1,1,1,1,4,1,1,1,2,2,23,10, 
110,7/1/2014,2,2,1,0,1,2,2,3,2,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,14,11,Playing a video game and how it makes you feel afterwards.
111,7/1/2014,1,1,1,0,1,2,2,3,1,4,2,2,3,3,2,1,1,1,1,2,1,1,3,1,2,1,4,3,4,4,1,2,2,25,16, 
112,7/3/2014,6,3,2,5,1,2,2,2,2,3,2,4,4,4,2,2,2,2,2,3,1,3,4,3,1,2,4, ,3,2,2,1,2,25,25, 
113,7/3/2014,5,2,2,10,1,2,2,3,1,5,4,3,1,1,1,2,2,1,1,1,1,1,3,1,1,2,1,3,3,2,1,2,2,18,14, 
114,7/10/2014,4,1,2,0,1,2,2,3,1,4,2,3,1,2,1,2,1,1,1,1,2,1,4,1,1,2,3,4,2,1,1,2,2,23,12, 
115,7/10/2014,3,3,1,0,1,2,2,3,2,5,4,3,3,2,3,2,1,1,2,3,3,3,3,1,2,2,3,3,3,3,2,2,2,27,21, 
116,7/22/2014,2,2,1,0,1,2,2,2,2,2,2,3,4,2,3,2,4,3,2,2,1,2,4,3,2,3,2,4,4,3,2,1,1,25,30,Your attitude and feelings after playing a violent videogame
117,7/24/2014,1,1,1,0,1,2,2,4,2,1,3,4,2,3,1,2,1,1,1,1,1,1,3,1,2,1,3,4,2,3,1,2,2,26,12, 
118,7/24/2014,6,3,2,0,1,2,2,3,2,2,1,2,3,2,3,2,3,1,1,2,1,1,1,2,1,1,3,3,3,3,1,1,2,20,19, 
119,9/29/2014,5,2,2,10,1,2,3,3,2,1,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,13,15, 
120,9/29/2014,4,1,2,20,1,2,3,3,2,2,2,3,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,2,1,1,2,19,10, 
121,9/29/2014,3,3,1,0,1,2,3,4,2,6,4,5,3,5,1,4,1,1,1,2,2,1,4,1,2,1,5,4,2,2,1,2,2,35,13, 
122,9/29/2014,2,2,1,5,1,2,3,3,1,4,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,1,2,2,21,19, 
123,9/29/2014,1,1,1,0,1,2,3,3,1,4,3,4,1,4,1,1,1,1,1,2,2,1,5,1,2,2,3,4,4,3,1,2,2,30,14, 
124,9/30/2014,6,3,2,10,1,2,3,4,2,3,4,4,2,3,1,2,1,1,2,2,1,3,4,1,1,2,4,4,2,3,1,2,1,28,16,/  / I thought the study was about how we felt emotionally after playing a violent game. Whether we felt violent from laying the game or if it didn't bother us at all.
125,10/1/2014,5,2,2, ,0,2,3,2,2,1,1,1,1,1,1,1,1,1, ,1,1,1,4,1,1,1,1,4,1,4,1,1,2,19,9, 
126,10/2/2014,4,1,2,0,1,2,3,2,1,1,2,3,1,3,3,3,3,1,1,2,2,2,3,3,2,4,4,3,2,1,1,1,2,26,21, 
127,10/3/2014,3,3,1,10,1,2,3,2,2,1,1,2,3,1,3,1,1,1,2,1,1,3,4, ,2,3,3,4,4,3,1,1,1,22,21,I think the purpose of this study was to be able to associate emotions with different video games. I think this was also used to determine how different genders react in different situations with their different emotions.
